rep,delta_auroc,delta_auprc,delta_logloss_plus_risk_minus_quality
1043,0.027407049266148675,0.07871443213474882,-0.030757034974823294
1044,0.023411796370513605,0.06624051008861964,-0.026682071846110433
1045,0.0256875602770944,0.07149454799179789,-0.03047486616066508
1046,0.02541879576550765,0.06824608345018013,-0.030371340431085914
1047,0.02556986162025421,0.06764118652238194,-0.027023218458231635
1048,0.026733377385838586,0.06918446476483986,-0.030462691097730976
1049,0.0328436236743197,0.07524930295334586,-0.036985954549501265
1050,0.03290462401848926,0.07530201638571754,-0.03623804512928719
1051,0.026624615385871464,0.07423162707311637,-0.027589417538771643
1052,0.02698036665427961,0.06776836968682276,-0.02838737959613452
1053,0.0205815915491786,0.056400912698832406,-0.024428029494588277
1054,0.025076853175683866,0.06232705265081073,-0.028447508166980107
1055,0.025682094145315526,0.066073080256836,-0.03049525605572756
1056,0.028388865908200223,0.07619780864593773,-0.030479275060975253
1057,0.028543711761928048,0.0705704393057599,-0.031997219144660194
1058,0.028595552907951016,0.07330113633756918,-0.03176386520435387
1059,0.017819641040883738,0.05343685871245152,-0.01924335953983075
1060,0.0308621935250194,0.07636217078103058,-0.033765900549061756
1061,0.02974016243738553,0.07064018650106241,-0.034855873124920445
1062,0.03267562334169605,0.07416895979406302,-0.036949445353151866
1063,0.027604686414341106,0.06578943518815528,-0.030469954301570068
1064,0.02454080319156937,0.06964920322774382,-0.028699000761323756
1065,0.024147784762778346,0.06337445731297464,-0.026640339211396358
1066,0.023269912399225934,0.05966576143062785,-0.026250303431408106
1067,0.02470782010335215,0.06931296504745454,-0.028124228997264134
1068,0.025533759526604083,0.061885380038210314,-0.029761744982612914
1069,0.02522828400196786,0.06968843270182612,-0.030338186210963847
1070,0.025930269548066986,0.06601197237789869,-0.02893583050363724
1071,0.029268594647454016,0.07066970654374771,-0.03191508469763632
1072,0.01896104575920976,0.053906572112372375,-0.02329866952522014
1073,0.029650445177277662,0.07744182731665261,-0.03541802672036115
1074,0.028134809403421723,0.07239562855354642,-0.031136163348214507
1075,0.024312063363250647,0.06854341675193498,-0.02647539943432259
1076,0.031095102252508222,0.07445607292624179,-0.03479306721737607
1077,0.03178554273288492,0.07679985060552097,-0.036338725804859806
1078,0.023654737278103632,0.0621168590448512,-0.02638016461373599
1079,0.027249311695570766,0.06815282847272974,-0.03189354961129437
1080,0.02868221943987559,0.06927869903221884,-0.030361863056794614
1081,0.020244943249087655,0.057153707557322964,-0.025076335557046137
1082,0.02431248365760663,0.06980376821292855,-0.026214877605690856
1083,0.034104587689720356,0.08386412566873913,-0.03916381573129629
1084,0.02850030475025278,0.06930751958540926,-0.030176422523816637
1085,0.029611878701876315,0.0735236645959455,-0.033999008702876976
1086,0.03143545040094098,0.07403416197058532,-0.03628513734581451
1087,0.028252723726064577,0.06750774305439133,-0.030126539890571402
1088,0.02204088503604207,0.06298913183375521,-0.025256542801359805
1089,0.019753756352284713,0.052059281767043886,-0.02308925034334619
1090,0.030693263749843158,0.07706981149466163,-0.03551482505130488
1091,0.029973511916655204,0.0729505561040541,-0.0327883812404236
1092,0.029310244130426932,0.07080406800488914,-0.03145687710582595
1093,0.027307601888752697,0.0727065525769428,-0.030255427606343477
1094,0.02889673606864296,0.07034228628440387,-0.030492856559323878
1095,0.029814906453323964,0.07319284445806384,-0.03229817087339604
1096,0.02768528307711815,0.07062414625391744,-0.031035732223067325
1097,0.02843633143278601,0.06923413434491332,-0.0315369408056162
1098,0.024879491673970078,0.06481410461927462,-0.02739454698636351
1099,0.03090999493085178,0.07778131124383336,-0.03570745064452624
1100,0.03167842295927137,0.07859119729119479,-0.03491255371439206
1101,0.030649702236097753,0.07228248895606204,-0.03386480785004292
1102,0.028707886231292168,0.07449895382621974,-0.02979705601646121
1103,0.02993146483356035,0.07110325731478073,-0.033237832552479696
1104,0.029989526234609376,0.07002024844611598,-0.032664572928259084
1105,0.025820686622702094,0.07390209454366325,-0.02769568342986095
1106,0.024175485891217763,0.06936131341474794,-0.0274348863602355
1107,0.03232085954464692,0.07506366580018342,-0.03588426818419316
1108,0.03035736372242548,0.0703609504158994,-0.034216295388658724
1109,0.025277883143449364,0.06704334123757305,-0.029632683059718445
1110,0.023876442744429682,0.06258456801807666,-0.02890818855271554
1111,0.021951475493726336,0.06916532485869731,-0.026348341763580196
1112,0.03322617897375946,0.07794841553715692,-0.03667735173805742
1113,0.03043303198653502,0.06863189322590713,-0.03464155007159131
1114,0.026439257263448313,0.06874241370411349,-0.029505701786814442
1115,0.03516120855566385,0.08180029163939839,-0.03968849669905811
1116,0.029919054826782254,0.07366882669310448,-0.03260509408413259
1117,0.02730770521375836,0.07036195222886255,-0.028885554109990996
1118,0.027915997448488494,0.07551640375969193,-0.03131576034166883
1119,0.02952845786251701,0.07475555983638882,-0.03248406382579444
1120,0.0289425620920003,0.07072514975673472,-0.03380751810168081
1121,0.028215895727015883,0.07667416627668022,-0.03166489285197577
1122,0.022196873324654254,0.061364070793238135,-0.026235511538470646
