target_family,comparison,metric,bootstrap_mean_delta,ci95_low,ci95_high,inference
PraNet,FINAL_vs_M2_FG,PPV1pct,-6.642536046794906e-07,-0.0012820207427961733,0.001259109441375168,NO_95CI_DIFFERENCE
PraNet,FINAL_vs_M2_FG,OracleR90FPR,-0.014293060170383438,-0.03533982533015938,0.004647737396575428,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_M2_FG,AUROC,-0.00230809491595279,-0.006771082754518568,0.0021879492856033637,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_M2_FG,AUPRC,0.002381100540708097,-0.008046128699176999,0.013037074158587705,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_M2_FG,Recall,0.003702473432938596,-0.0016813905049199106,0.009254743876214468,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_M2_FG,FPR,0.005327062656973906,-0.0047580461284631725,0.0145992281176781,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_M2_FG,PPV1pct,-6.369549239128843e-05,-0.00027762805968983676,0.00015424255432115348,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_M2_FG,OracleR90FPR,-0.005024904269621083,-0.024677769370071285,0.01838427381841293,NO_95CI_DIFFERENCE
DeepLabV3-R50,FINAL_vs_M2_BG,AUROC,0.07658512419564965,0.057359962232189615,0.0957825359665326,A_BETTER
DeepLabV3-R50,FINAL_vs_M2_BG,AUPRC,0.1575422708151253,0.12192382080874296,0.1919314056057679,A_BETTER
DeepLabV3-R50,FINAL_vs_M2_BG,Recall,-0.012946805191259932,-0.029044216864861753,0.0018870609716800976,NO_95CI_DIFFERENCE
DeepLabV3-R50,FINAL_vs_M2_BG,FPR,-0.09828818735567131,-0.12780084084110427,-0.06673520800028386,A_BETTER
DeepLabV3-R50,FINAL_vs_M2_BG,PPV1pct,0.002616369273981384,0.001683639911634931,0.003567513538601122,A_BETTER
DeepLabV3-R50,FINAL_vs_M2_BG,OracleR90FPR,-0.07055432648720736,-0.11556797393909607,-0.026076546109064413,A_BETTER
PraNet,FINAL_vs_M2_BG,AUROC,0.11773767414785714,0.09641170627170004,0.14005936908469574,A_BETTER
PraNet,FINAL_vs_M2_BG,AUPRC,0.14501875348638052,0.11977518557793634,0.17137488877158896,A_BETTER
PraNet,FINAL_vs_M2_BG,Recall,-0.023611917102928693,-0.04652062087476277,-0.0024168601343768975,A_WORSE
PraNet,FINAL_vs_M2_BG,FPR,-0.20179026154295912,-0.2405225702467443,-0.1646612559521521,A_BETTER
PraNet,FINAL_vs_M2_BG,PPV1pct,0.011673402473637623,0.008855678876719907,0.014897876504113863,A_BETTER
PraNet,FINAL_vs_M2_BG,OracleR90FPR,-0.16133680369440828,-0.2159319359976922,-0.10572572860935318,A_BETTER
SegFormer-B0,FINAL_vs_M2_BG,AUROC,0.04910047752903574,0.03141616362759957,0.06664401469870682,A_BETTER
SegFormer-B0,FINAL_vs_M2_BG,AUPRC,0.0880898064436514,0.046941821719655885,0.1297409644095503,A_BETTER
SegFormer-B0,FINAL_vs_M2_BG,Recall,0.0057742688012588006,-0.010460003018640182,0.02161464556828569,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_M2_BG,FPR,-0.012164545271995557,-0.034524958050145924,0.009338824599524955,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_M2_BG,PPV1pct,0.0003559104141187457,-0.00012535733687365266,0.0008431376403670711,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_M2_BG,OracleR90FPR,-0.03888826882926057,-0.08066369954994203,0.0012380767792185326,NO_95CI_DIFFERENCE
DeepLabV3-R50,FINAL_vs_COND,AUROC,0.0017730743292645164,0.00010888587675521034,0.0033465322597534615,A_BETTER
DeepLabV3-R50,FINAL_vs_COND,AUPRC,0.002936708291261428,0.0007243515361153836,0.005360176117097237,A_BETTER
DeepLabV3-R50,FINAL_vs_COND,Recall,-0.0038748059739849507,-0.009022239991090416,0.0,NO_95CI_DIFFERENCE
DeepLabV3-R50,FINAL_vs_COND,FPR,-0.006247667768900304,-0.012264248200739097,-0.0005077887375408712,A_BETTER
DeepLabV3-R50,FINAL_vs_COND,PPV1pct,0.0001368882001916512,-6.423794013272503e-05,0.00035711392734746986,NO_95CI_DIFFERENCE
