rep,safetta_pooled_auroc,safetta_pooled_auprc,safetta_macro3_auroc,safetta_macro3_auprc,sictta_ccd_pooled_auroc,sictta_ccd_pooled_auprc,sictta_ccd_macro3_auroc,sictta_ccd_macro3_auprc,tegda_adic_pooled_auroc,tegda_adic_pooled_auprc,tegda_adic_macro3_auroc,tegda_adic_macro3_auprc,mc_dropout_pooled_auroc,mc_dropout_pooled_auprc,mc_dropout_macro3_auroc,mc_dropout_macro3_auprc,delta_safetta_minus_sictta_ccd_pooled_auroc,delta_safetta_minus_sictta_ccd_pooled_auprc,delta_safetta_minus_sictta_ccd_macro3_auroc,delta_safetta_minus_sictta_ccd_macro3_auprc,delta_safetta_minus_tegda_adic_pooled_auroc,delta_safetta_minus_tegda_adic_pooled_auprc,delta_safetta_minus_tegda_adic_macro3_auroc,delta_safetta_minus_tegda_adic_macro3_auprc,delta_safetta_minus_mc_dropout_pooled_auroc,delta_safetta_minus_mc_dropout_pooled_auprc,delta_safetta_minus_mc_dropout_macro3_auroc,delta_safetta_minus_mc_dropout_macro3_auprc
1819,0.61652325930486,0.4937932875290143,0.6169196624630122,0.4956933568563389,0.6473611708717051,0.45946345449627435,0.6473440188692449,0.45959671459285606,0.5913226172502853,0.37642646480532527,0.5918619758727951,0.3789032934168197,0.4415039944161628,0.3160029952220901,0.4415814266850389,0.31847464957906474,-0.030837911566845122,0.034329833032739954,-0.030424356406232644,0.03609664226348286,0.025200642054574618,0.11736682272368903,0.02505768659021712,0.1167900634395192,0.17501926488869718,0.17779029230692422,0.1753382357779733,0.17721870727727418
1820,0.6271442045462542,0.4903035295038773,0.6274182894069991,0.49330134536906445,0.6436629041018305,0.46117501886199685,0.6436949271124056,0.4612336232652239,0.6145434543078996,0.40383431369668277,0.6147211225735567,0.40672546061690085,0.44478352759592127,0.32674715331905635,0.4442621495572449,0.3283320867202147,-0.016518699555576277,0.029128510641880434,-0.01627663770540655,0.03206772210384057,0.012600750238354608,0.08646921580719452,0.012697166833442353,0.0865758847521636,0.18236067695033292,0.16355637618482094,0.18315613984975415,0.16496925864884976
1821,0.6181702053984661,0.49255669139871333,0.617970924905377,0.4941166780490252,0.6331762440458093,0.46439342172992115,0.6333236105920741,0.4649591445957346,0.6141266342353299,0.4088547073903538,0.6141384367542438,0.4114438111160031,0.45456593527245703,0.3401494346044538,0.45461343328552356,0.34511735216951545,-0.015006038647343178,0.02816326966879218,-0.01535268568669712,0.029157533453290585,0.00404357116313625,0.08370198400835954,0.003832488151133129,0.08267286693302212,0.1636042701260091,0.15240725679425954,0.1633574916198534,0.14899932587950976
1822,0.6459820071318493,0.5122993227059613,0.6454638958608682,0.5134670736322073,0.6153316789200086,0.4310712995137575,0.6162232748276028,0.43170256422237774,0.6324009197334254,0.4131483559975328,0.6322928185385674,0.4165011703526121,0.4739012696506155,0.3407577753460683,0.4730305866386518,0.3444364498685215,0.03065032821184066,0.08122802319220385,0.029240621033265413,0.0817645094098296,0.013581087398423897,0.09915096670842855,0.013171077322300717,0.09696590327959526,0.17208073748123376,0.17154154735989302,0.1724333092222164,0.16903062376368583
1823,0.6192620903764052,0.4994608001089793,0.6187255416909954,0.5010931927620078,0.6511334249513416,0.48273700292686955,0.6525771713972913,0.48448088235490355,0.6046963042859715,0.40038476016869107,0.6041131642805317,0.4026616529443136,0.43178137222766855,0.31670634278603493,0.42996118551343776,0.31844383559723793,-0.031871334574936405,0.016723797182109756,-0.03385162970629596,0.016612310407104258,0.014565786090433686,0.09907603994028824,0.014612377410463617,0.0984315398176942,0.18748071814873668,0.18275445732294437,0.1887643561775576,0.18264935716476988
1824,0.6186290436957671,0.4899912212618083,0.6182873651626138,0.491289836166198,0.6239374755562431,0.4488068046797493,0.624454513955205,0.4484028742258898,0.6117396648572914,0.3932633681659048,0.6122133960562661,0.39624417588104116,0.4653824830129321,0.34589061194369164,0.4653020263757622,0.34914940146111234,-0.005308431860476026,0.04118441658205896,-0.0061671487925911705,0.042886961940308166,0.006889378838475735,0.09672785309590348,0.006073969106347721,0.09504566028515682,0.153246560682835,0.14410060931811663,0.15298533878685167,0.14214043470508564
1825,0.5981230869062205,0.4829181165454042,0.59861652101289,0.4849955765833742,0.6468773613500625,0.4834480757099963,0.6474422365011938,0.4820631396981952,0.585422598947238,0.38524240426396805,0.5862509676129349,0.387862275853208,0.4321107321092379,0.3243928581294193,0.4321043850701736,0.3266529026340071,-0.04875427444384195,-0.000529959164592142,-0.048825715488303834,0.002932436885179024,0.012700487958982487,0.09767571228143612,0.012365553399955043,0.09713330073016624,0.16601235479698262,0.15852525841598486,0.16651213594271635,0.15834267394936713
1826,0.6028576094757969,0.46553761603883936,0.6025291119051817,0.4674989333067021,0.6435737094770864,0.47176362999477106,0.6448399770298069,0.47385659235222216,0.6123800375628016,0.4047550873775725,0.6118373338968789,0.4070366594955863,0.4573324823682616,0.3345993599951326,0.45631377670244305,0.33817663980495877,-0.040716100001289446,-0.006226013955931697,-0.04231086512462523,-0.006357659045520048,-0.009522428087004653,0.06078252866126688,-0.00930822199169723,0.060462273811115796,0.14552512710753535,0.1309382560437068,0.1462153352027386,0.12932229350174335
1827,0.6069788779529021,0.4870631421424292,0.6071229177416039,0.48876093794280123,0.6404936998745172,0.48212820715231397,0.6405595491596853,0.479426206131676,0.5937354085190383,0.38974742209053503,0.5944336319542195,0.39262946721146297,0.4309111872705537,0.32777803139078765,0.4312403378840098,0.3311059862912362,-0.033514821921615146,0.004934934990115214,-0.0334366314180814,0.009334731811125208,0.013243469433863786,0.09731572005189415,0.012689285787384375,0.09613147073133826,0.17606769068234834,0.15928511075164153,0.1758825798575941,0.157654951651565
1828,0.6025063104509427,0.47769171523742343,0.6024739950163059,0.4796047115057414,0.644323110441901,0.46893052418149633,0.6446226486824302,0.46820226707873686,0.6002071034875571,0.3989237287156916,0.5998643772310991,0.4006315981298769,0.4374560049029277,0.32341126706675605,0.4368429993494917,0.32610397922821194,-0.04181679999095833,0.008761191055927098,-0.0421486536661243,0.011402444427004554,0.0022992069633855916,0.07876798652173184,0.0026096177852068525,0.07897311337586449,0.16505030554801503,0.15428044817066738,0.16563099566681422,0.15350073227752947
