rep,safetta_pooled_auroc,ccd_pooled_auroc,delta_safetta_minus_ccd_pooled_auroc,safetta_pooled_auprc,ccd_pooled_auprc,delta_safetta_minus_ccd_pooled_auprc,safetta_macro2_auroc,ccd_macro2_auroc,delta_safetta_minus_ccd_macro2_auroc,safetta_macro2_auprc,ccd_macro2_auprc,delta_safetta_minus_ccd_macro2_auprc
654,0.6840915732530201,0.642388088195053,0.04170348505796706,0.6268454381340756,0.5056497505077999,0.12119568762627564,0.6856007411186149,0.6459456672832709,0.03965507383534406,0.6293736847389833,0.5104297475004718,0.11894393723851149
655,0.661978350597435,0.6379460761350205,0.024032274462414516,0.5943092383781944,0.5046705713937538,0.08963866698444056,0.6632451292989336,0.6411986944263386,0.022046434872595055,0.5983977377075987,0.5128558414615529,0.0855418962460458
656,0.6769050689680762,0.6572051138527132,0.019699955115363044,0.6169637685218061,0.5135313240098262,0.10343244451197997,0.6798367805514149,0.6620154646719472,0.01782131587946778,0.6209353255700819,0.5189584410159103,0.10197688455417164
657,0.6495902866514685,0.6291165620755782,0.02047372457589025,0.5976392929822723,0.49895497325085153,0.09868431973142072,0.6509588453530869,0.6338350567508848,0.017123788602202095,0.601622230430094,0.5056316257887226,0.09599060464137144
658,0.6627695167295257,0.6441848364295965,0.018584680299929213,0.6212743796945454,0.5243562120129703,0.09691816768157502,0.6654802636865103,0.6490905424715128,0.016389721214997488,0.6252948798910514,0.5313554119929234,0.09393946789812802
659,0.6673054618350736,0.656063744951612,0.011241716883461539,0.6177260811639697,0.5332278128730613,0.08449826829090834,0.669684782583029,0.6608938866654637,0.008790895917565322,0.6208646282506199,0.5397295945815406,0.08113503366907937
660,0.6726634602447731,0.6245802492402137,0.04808321100455937,0.6384228396633567,0.5167103567573901,0.12171248290596659,0.6766101135629161,0.6297053229934519,0.04690479056946417,0.6420883606420387,0.5233440035593988,0.11874435708263986
661,0.6668427813818784,0.6372952617237027,0.029547519658175703,0.5982255191895938,0.49628008482340485,0.10194543436618891,0.6690947602257338,0.6425389174179171,0.026555842807816643,0.6006114146479934,0.5029769782228943,0.09763443642509906
662,0.6646926542351379,0.6336777238738024,0.031014930361335513,0.6215142791747603,0.521466652710771,0.10004762646398935,0.6669115147152793,0.6366754857836747,0.030236028931604597,0.6247317593700844,0.5270910003967956,0.09764075897328883
663,0.6645881543500591,0.6424535341202009,0.022134620229858237,0.6206087408751141,0.5241865954281462,0.09642214544696792,0.667871566593493,0.6483311810067616,0.019540385586731435,0.6255542092014983,0.5315619109940989,0.0939922982073994
