rep,safe_prevented_harm_fraction,random_prevented_harm_fraction,delta_prevented_harm_fraction,safe_mean_slice_deployed_dice,random_mean_slice_deployed_dice,delta_mean_slice_deployed_dice,safe_mean_patient_3d_deployed_dice,random_mean_patient_3d_deployed_dice,delta_mean_patient_3d_deployed_dice
1735,0.8973288814691152,0.8187813021702839,0.07854757929883127,0.6466831891015712,0.6208254262643216,0.02585776283724961,0.7249480939113199,0.726408794349062,-0.0014607004377421573
1736,0.9135906040268457,0.8246644295302014,0.0889261744966443,0.651911725458578,0.6236316368542834,0.02828008860429465,0.7391204736760748,0.7382167395767338,0.0009037340993409693
1737,0.9121140142517815,0.8212984956452889,0.09081551860649262,0.6587556932278773,0.6296402126810222,0.029115480546855088,0.7365360560618226,0.7370955802592853,-0.0005595241974627463
1738,0.9281650071123755,0.8676386913229017,0.06052631578947376,0.6486504800403605,0.6270942049826956,0.021556275057664886,0.7461206379864019,0.7451650226955892,0.0009556152908127835
1739,0.9280936454849499,0.8494983277591974,0.07859531772575246,0.6683194147337971,0.641470931942375,0.026848482791422046,0.7484432644650042,0.7450290333783388,0.003414231086665387
1740,0.909942363112392,0.854178674351585,0.05576368876080695,0.6515000104609252,0.6303825174305959,0.021117493030329282,0.7451730963953137,0.7463572119250224,-0.0011841155297086514
1741,0.8950437317784257,0.8220845481049563,0.07295918367346932,0.6518427284293274,0.627964608342044,0.023878120087283405,0.7485669263509963,0.750207005640764,-0.0016400792897677263
1742,0.9063729346970889,0.840912667191188,0.06546026750590095,0.6383203202887162,0.6126415180778982,0.025678802210817975,0.7411954644328719,0.7423246160113122,-0.0011291515784402906
1743,0.8852583586626139,0.8319148936170212,0.05334346504559273,0.6472753112733313,0.6222608443419582,0.025014466931373103,0.731263901763545,0.729702317955164,0.0015615838083810063
1744,0.9061102831594635,0.8473174366616989,0.05879284649776462,0.6478184912204545,0.6258521075122099,0.021966383708244663,0.7291613116007211,0.7305282263412736,-0.001366914740552505
1745,0.9014296463506396,0.818811136192626,0.08261851015801358,0.6679428626436955,0.6402958150058706,0.027647047637824884,0.7574766168392095,0.7558553264566573,0.0016212903825522096
1746,0.882120253164557,0.8318037974683545,0.05031645569620247,0.6476474889013188,0.6232325716240215,0.024414917277297388,0.7117412991672484,0.7137941672075673,-0.0020528680403189004
1747,0.8877630553390491,0.8298519095869056,0.05791114575214351,0.6747516730903113,0.6495466896327781,0.025204983457533192,0.7417706921016338,0.7409064436323962,0.0008642484692376051
1748,0.9204455051710422,0.8424025457438346,0.07804295942720763,0.6452099259226738,0.6207657026526971,0.02444422326997664,0.7432397894582959,0.7419944260441358,0.00124536341416015
1749,0.887719298245614,0.8156140350877192,0.07210526315789478,0.6548775405928317,0.6299951131818724,0.02488242741095925,0.7558644741182668,0.7547816015119151,0.001082872606351759
1750,0.9115241635687732,0.8421561338289963,0.06936802973977685,0.6222942858198971,0.5981806262430687,0.024113659576828428,0.7372898324986562,0.7417526129026004,-0.004462780403944211
1751,0.8931466470154753,0.8227708179808401,0.07037582903463524,0.6704814597225264,0.6466167759774317,0.02386468374509465,0.7636646009665417,0.7647559507795927,-0.0010913498130510346
1752,0.9434984520123839,0.8545665634674922,0.08893188854489176,0.631424285774379,0.6030891686637531,0.028335117110625974,0.7005839703770588,0.6934630612527248,0.007120909124333941
1753,0.91284046692607,0.8515953307392996,0.06124513618677041,0.6614515407429192,0.6394116612204469,0.022039879522472328,0.7273314569629381,0.7265518734127406,0.0007795835501974713
1754,0.9176954732510288,0.8437037037037036,0.07399176954732523,0.6432298971899301,0.6199773085800526,0.023252588609877445,0.7153212663353066,0.7152678420599062,5.3424275400337784e-05
1755,0.9001512859304085,0.8414523449319213,0.05869894099848716,0.6638890889676209,0.6395950910962576,0.024293997871363326,0.7549366839173604,0.7551684076697002,-0.00023172375233981857
1756,0.8895116092874299,0.822097678142514,0.0674139311449159,0.672931816665728,0.6501947087768248,0.022737107888903152,0.755011995129722,0.754389105898692,0.0006228892310299328
1757,0.8950461796809404,0.8311502938706969,0.06389588581024341,0.6754840105465412,0.6525085629362409,0.022975447610300237,0.7693269874647445,0.7685909584999675,0.0007360289647769802
1758,0.9154704944178629,0.8401116427432218,0.07535885167464107,0.686031415385462,0.6628682440158072,0.023163171369654734,0.7807625248990807,0.7790711578764469,0.0016913670226338384
1759,0.8956328645447816,0.8307179866765357,0.0649148778682459,0.653342486004065,0.6278685244955002,0.025473961508564735,0.7250365485014474,0.725791946766465,-0.0007553982650175817
1760,0.9379139072847682,0.8295529801324504,0.10836092715231782,0.6405751106844778,0.6129847547460617,0.027590355938416078,0.721094361342602,0.7181353860718466,0.002958975270755393
1761,0.925205684367988,0.8475691847419597,0.07763649962602825,0.6593124117768449,0.633881512950316,0.025430898826528825,0.7552069770208338,0.7526402682041063,0.002566708816727492
1762,0.8725925925925926,0.8096296296296297,0.06296296296296289,0.6610700362864995,0.6374889759485127,0.023581060337986792,0.7706416563758177,0.7738483950417007,-0.0032067386658829466
1763,0.8672501823486506,0.8177242888402626,0.049525893508387986,0.6805934455094075,0.6559136732836015,0.024679772225805974,0.7672170864380199,0.7703858204323168,-0.0031687339942969572
1764,0.8743211792086889,0.7986811481768813,0.07564003103180761,0.6835462651908432,0.6589441470397662,0.024602118151076935,0.7654802753785447,0.7702679294692291,-0.004787654090684379
1765,0.916723087339201,0.8631685849695329,0.05355450236966819,0.6313795348036877,0.6090534970569014,0.02232603774678632,0.709003548705515,0.7085590231790565,0.00044452552645846133
1766,0.9005704971475142,0.8386308068459657,0.061939690301548556,0.6644401259112737,0.6417581638134874,0.02268196209778628,0.753942487800793,0.7565411506137376,-0.00259866281294463
1767,0.9034289713086074,0.8617214835549335,0.041707487753673944,0.6630890385448048,0.6420601910702175,0.02102884747458733,0.7601468671148038,0.7642400786589335,-0.004093211544129671
