replicate,scope,score,auroc,auprc,valid_strata
37,OVERALL,CHANGE_MAGNITUDE_ONLY,0.47095631641086183,0.3506117034626964,
37,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.47095631641086183,0.3506117034626964,
38,OVERALL,SOURCE_STATE,0.5307141361787973,0.35506605179503714,
38,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.5181531551534914,0.36520183973917786,
38,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6534374583679605,0.47492133075350973,
38,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5174109153656323,0.35946410458817357,
38,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5174109153656323,0.35946410458817357,
39,OVERALL,SOURCE_STATE,0.5133368662780428,0.3643301078544137,
39,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.47922039686745566,0.3455836454625172,
39,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6546134369663782,0.5003644764703904,
39,OVERALL,CHANGE_MAGNITUDE_ONLY,0.48852381793558264,0.36815757493184126,
39,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.48852381793558264,0.36815757493184126,
40,OVERALL,SOURCE_STATE,0.5512905739959655,0.4210404974547338,
40,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.4858907940583165,0.372414252684254,
40,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6476423528333028,0.5079776995027899,
40,OVERALL,CHANGE_MAGNITUDE_ONLY,0.46816545938015774,0.37880758800006065,
40,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.46816545938015774,0.37880758800006065,
41,OVERALL,SOURCE_STATE,0.4608658854166666,0.2749930714195959,
41,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.44317057291666667,0.27507591679330634,
41,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6184309895833333,0.4159060354993786,
41,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5195670572916666,0.365654063604399,
41,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5195670572916666,0.365654063604399,
42,OVERALL,SOURCE_STATE,0.5057291956840678,0.3492708733008616,
42,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.44627679660272,0.2997847323416206,
42,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.5975015630706756,0.42288055924267687,
42,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5359413399694195,0.39660543442034685,
42,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5359413399694195,0.39660543442034685,
43,OVERALL,SOURCE_STATE,0.5318880721565286,0.3761664639042686,
43,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.48867819561331866,0.34970434525478594,
43,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6528709917971663,0.49190793771188074,
43,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5335097001763669,0.3940674001403279,
43,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5335097001763669,0.3940674001403279,
44,OVERALL,SOURCE_STATE,0.5845473377750405,0.4483377460911428,
44,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.5055092100106378,0.3987868096585742,
44,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6850624265158726,0.5444557537138479,
44,OVERALL,CHANGE_MAGNITUDE_ONLY,0.46058171434970047,0.3678517198442771,
44,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.46058171434970047,0.3678517198442771,
45,OVERALL,SOURCE_STATE,0.5399238867548726,0.36817578076001356,
45,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.5184710959358847,0.359388190568691,
45,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6523687580025608,0.464264146265145,
45,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5233674775928296,0.370337352541563,
45,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5233674775928296,0.370337352541563,
46,OVERALL,SOURCE_STATE,0.5032573891625616,0.3460321889803255,
46,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.4853817733990148,0.32950454842686294,
46,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.5859975369458128,0.40781597740907677,
46,OVERALL,CHANGE_MAGNITUDE_ONLY,0.49521551724137924,0.35629527565273805,
46,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.49521551724137924,0.35629527565273805,
47,OVERALL,SOURCE_STATE,0.5042103575436909,0.3286933908876862,
47,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.4776591309924643,0.3297470900647843,
47,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6239794773128107,0.44441633165078587,
47,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5080968414301748,0.3529418608031605,
47,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5080968414301748,0.3529418608031605,
48,OVERALL,SOURCE_STATE,0.5323018528049408,0.38060222015949435,
48,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.4936567164179105,0.349951363115771,
48,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6607179619145651,0.47276118612039697,
48,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5061567164179104,0.3738518881945881,
48,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5061567164179104,0.3738518881945881,
49,OVERALL,SOURCE_STATE,0.5534063131044744,0.3717685669984857,
49,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.47784627011962544,0.3254832352690098,
49,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6459772558188968,0.45069051625226025,
49,OVERALL,CHANGE_MAGNITUDE_ONLY,0.49739611010734397,0.3578981911670841,
49,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.49739611010734397,0.3578981911670841,
50,OVERALL,SOURCE_STATE,0.5135317911768423,0.3237532912167685,
50,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.48859815446846167,0.3100451186692782,
50,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6265895588421185,0.40591505123229793,
50,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5153678422449753,0.34205997338076055,
50,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5153678422449753,0.34205997338076055,
51,OVERALL,SOURCE_STATE,0.5619897675453231,0.4311547397425214,
51,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.48818818818818815,0.3780545052474195,
51,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6709097986875764,0.5440471539840774,
51,OVERALL,CHANGE_MAGNITUDE_ONLY,0.4898342787231676,0.39815425289810125,
51,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.4898342787231676,0.39815425289810125,
52,OVERALL,SOURCE_STATE,0.5638455461189018,0.4420902363228821,
52,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.4901792964206553,0.3824882549951949,
52,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6590789387056423,0.5177734678633688,
52,OVERALL,CHANGE_MAGNITUDE_ONLY,0.4744990892531876,0.3714640668011636,
