setting,policy,requested_coverage,metric,bootstrap_valid,bootstrap_mean_delta,ci95_low,ci95_high
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,1.0,mean_delta_vs_source,2000,0.0,0.0,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,1.0,mean_delta_vs_adapt_all,2000,0.0,0.0,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.9,harm_rate_among_adapted,2000,-0.018410758377425042,-0.025787666918619296,-0.01153943058704962
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.9,benefit_rate_among_adapted,2000,0.0032351158982111368,-0.006513290501385734,0.011817208364827447
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.9,prevented_harm_fraction,2000,0.07382331804716594,0.04549185384136513,0.10543240312731839
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.9,withheld_benefit_fraction,2000,-0.010146295688130804,-0.03718881654538489,0.020085963073396232
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.9,mean_deployed_dice,2000,0.00892790051433889,0.0030169808254209784,0.0138702998658387
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.9,mean_delta_vs_source,2000,0.00892790051433889,0.003016980825421032,0.013870299865838709
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.9,mean_delta_vs_adapt_all,2000,0.00892790051433889,0.0030169808254209784,0.0138702998658387
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.8,harm_rate_among_adapted,2000,-0.03766208900226758,-0.05019912131519276,-0.026726899092970546
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.8,benefit_rate_among_adapted,2000,0.0015962585034013602,-0.012614795918367366,0.01743268140589572
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.8,prevented_harm_fraction,2000,0.13421877030780988,0.09302873744268265,0.18025581347449074
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.8,withheld_benefit_fraction,2000,-0.004155969388173622,-0.04723009512640078,0.03520537034930028
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.8,mean_deployed_dice,2000,0.014197460361234994,0.0069316478640307905,0.0217248114571287
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.8,mean_delta_vs_source,2000,0.014197460361234992,0.00693164786403079,0.02172481145712874
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.8,mean_delta_vs_adapt_all,2000,0.014197460361234994,0.0069316478640307905,0.0217248114571287
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.7,harm_rate_among_adapted,2000,-0.05448279883381925,-0.07107264334305151,-0.04037779397473276
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.7,benefit_rate_among_adapted,2000,4.754616132167143e-05,-0.016925817946226107,0.017427923550372537
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.7,prevented_harm_fraction,2000,0.16987692356114548,0.12220743943257194,0.22584403062521471
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.7,withheld_benefit_fraction,2000,0.0003346626301171474,-0.04052808249172199,0.04356255420431638
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.7,mean_deployed_dice,2000,0.016646595070194944,0.009606172096533892,0.024492889316576085
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.7,mean_delta_vs_source,2000,0.016646595070194947,0.009606172096533935,0.02449288931657612
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.7,mean_delta_vs_adapt_all,2000,0.016646595070194944,0.009606172096533892,0.024492889316576085
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,harm_rate_among_adapted,2000,-0.07296313303099018,-0.09395691609977325,-0.05453420256991685
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,benefit_rate_among_adapted,2000,-0.0013376984126984128,-0.021360544217687093,0.02048941798941791
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,prevented_harm_fraction,2000,0.195098016332779,0.13985666947913947,0.25956341604416283
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,withheld_benefit_fraction,2000,0.0034596092046596727,-0.040106805332662025,0.04752102578881398
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,mean_deployed_dice,2000,0.019767401247853016,0.012727384828810268,0.027313353659237278
