setting,policy,requested_coverage,metric,bootstrap_valid,bootstrap_mean,ci95_low,ci95_high
SUN_TENT1,RISK_RANKED,0.6,harm_rate_among_adapted,2000,0.15246419123204838,0.11677059712773998,0.1906698790627362
SUN_TENT1,RISK_RANKED,0.6,benefit_rate_among_adapted,2000,0.28891326530612244,0.23431594860166288,0.3441232048374904
SUN_TENT1,RISK_RANKED,0.6,prevented_harm_fraction,2000,0.595098016332779,0.5398566694791395,0.6595634160441629
SUN_TENT1,RISK_RANKED,0.6,withheld_benefit_fraction,2000,0.4034596092046597,0.359893194667338,0.44752102578881403
SUN_TENT1,RISK_RANKED,0.6,mean_deployed_dice,2000,0.7292624649896899,0.6730790804004402,0.7823345066108975
SUN_TENT1,RISK_RANKED,0.6,median_deployed_dice,2000,0.8865845642825232,0.8445952895196955,0.9174797118628611
SUN_TENT1,RISK_RANKED,0.6,mean_delta_vs_source,2000,0.04357411721208398,0.028360310821659337,0.0589995086715001
SUN_TENT1,RISK_RANKED,0.6,mean_delta_vs_adapt_all,2000,0.003896257271699041,-0.00753053995053532,0.015901779345212273
SUN_TENT1,RISK_RANKED,0.5,harm_rate_among_adapted,2000,0.13587380952380954,0.09727891156462586,0.17755102040816326
SUN_TENT1,RISK_RANKED,0.5,benefit_rate_among_adapted,2000,0.29496439909297056,0.2371825396825397,0.3555782312925169
SUN_TENT1,RISK_RANKED,0.5,prevented_harm_fraction,2000,0.699612132765094,0.6363237364754706,0.7634977875081285
SUN_TENT1,RISK_RANKED,0.5,withheld_benefit_fraction,2000,0.4927284972274879,0.4518897763876301,0.5363040927380409
SUN_TENT1,RISK_RANKED,0.5,mean_deployed_dice,2000,0.7277007157677143,0.6712932129358651,0.7802446570394258
SUN_TENT1,RISK_RANKED,0.5,median_deployed_dice,2000,0.8858968614217916,0.8438856071113691,0.9161486816381078
SUN_TENT1,RISK_RANKED,0.5,mean_delta_vs_source,2000,0.04201236799010829,0.027140893504485484,0.05713696089131552
SUN_TENT1,RISK_RANKED,0.5,mean_delta_vs_adapt_all,2000,0.0023345080497233473,-0.009670655257018124,0.014594231047654992
SUN_TENT1,RISK_RANKED,0.4,harm_rate_among_adapted,2000,0.11414640022675739,0.07397250566893424,0.16015447845804984
SUN_TENT1,RISK_RANKED,0.4,benefit_rate_among_adapted,2000,0.3177372448979592,0.2530966553287982,0.3869047619047619
SUN_TENT1,RISK_RANKED,0.4,prevented_harm_fraction,2000,0.7984544149858966,0.7379098276650427,0.8559231966535337
SUN_TENT1,RISK_RANKED,0.4,withheld_benefit_fraction,2000,0.5629265393852259,0.5237221827605506,0.6046836197366876
SUN_TENT1,RISK_RANKED,0.4,mean_deployed_dice,2000,0.7278965948362266,0.6714892727508832,0.781281734294374
SUN_TENT1,RISK_RANKED,0.4,median_deployed_dice,2000,0.8863389010554695,0.8448373585781549,0.9160071582181084
SUN_TENT1,RISK_RANKED,0.4,mean_delta_vs_source,2000,0.04220824705862046,0.028951566493781392,0.055603831466673775
SUN_TENT1,RISK_RANKED,0.4,mean_delta_vs_adapt_all,2000,0.0025303871182355163,-0.010182868943880688,0.01554458538603818
SUN_TENT1,RISK_RANKED,0.3,harm_rate_among_adapted,2000,0.0905372260015117,0.0479875283446712,0.1421107331821617
SUN_TENT1,RISK_RANKED,0.3,benefit_rate_among_adapted,2000,0.366766439909297,0.2868480725623583,0.4508786848072562
SUN_TENT1,RISK_RANKED,0.3,prevented_harm_fraction,2000,0.8801907268023924,0.8214852530811565,0.9304460072317214
SUN_TENT1,RISK_RANKED,0.3,withheld_benefit_fraction,2000,0.6217219994646448,0.5804544987232055,0.6637146176030763
SUN_TENT1,RISK_RANKED,0.3,mean_deployed_dice,2000,0.7282482065038584,0.670998176763086,0.7814607001752099
SUN_TENT1,RISK_RANKED,0.3,median_deployed_dice,2000,0.8870980691375129,0.8475296503766548,0.9161156803351272
SUN_TENT1,RISK_RANKED,0.3,mean_delta_vs_source,2000,0.04255985872625234,0.029669112906904015,0.055632098226149555
SUN_TENT1,RISK_RANKED,0.3,mean_delta_vs_adapt_all,2000,0.0028819987858673996,-0.010386737598358006,0.016410841702436632
SUN_TENT1,RISK_RANKED,0.2,harm_rate_among_adapted,2000,0.07167063492063491,0.017006802721088437,0.13945578231292516
SUN_TENT1,RISK_RANKED,0.2,benefit_rate_among_adapted,2000,0.4835184240362812,0.37356859410430837,0.6037556689342403
SUN_TENT1,RISK_RANKED,0.2,prevented_harm_fraction,2000,0.9367939063860397,0.8773186083442671,0.9839427745726155
SUN_TENT1,RISK_RANKED,0.2,withheld_benefit_fraction,2000,0.6676363387637541,0.6243339552205605,0.7114552487914628
SUN_TENT1,RISK_RANKED,0.2,mean_deployed_dice,2000,0.7280117693519573,0.6704533477437405,0.7809401958713119
SUN_TENT1,RISK_RANKED,0.2,median_deployed_dice,2000,0.8880065506281168,0.8498788848477044,0.9161156803351272
SUN_TENT1,RISK_RANKED,0.2,mean_delta_vs_source,2000,0.042323421574351226,0.02997024056568534,0.05518297969158366
SUN_TENT1,RISK_RANKED,0.2,mean_delta_vs_adapt_all,2000,0.0026455616339662873,-0.010585854107335011,0.01694288391448521
SUN_TENT1,RISK_RANKED,0.1,harm_rate_among_adapted,2000,0.011399092970521541,0.0,0.07375283446711986
SUN_TENT1,RISK_RANKED,0.1,benefit_rate_among_adapted,2000,0.6917375283446712,0.5714002267573696,0.8016156462585032
SUN_TENT1,RISK_RANKED,0.1,prevented_harm_fraction,2000,0.995050215944604,0.9676397662367595,1.0
SUN_TENT1,RISK_RANKED,0.1,withheld_benefit_fraction,2000,0.7607544229035851,0.7188363953846706,0.8085903100005041
SUN_TENT1,RISK_RANKED,0.1,mean_deployed_dice,2000,0.7180031529092864,0.6468714322080165,0.7813369535012351
SUN_TENT1,RISK_RANKED,0.1,median_deployed_dice,2000,0.8887047266551015,0.8464043658128686,0.9168369801880367
SUN_TENT1,RISK_RANKED,0.1,mean_delta_vs_source,2000,0.0323148051316805,0.022932867578554728,0.041205767997640634
SUN_TENT1,RISK_RANKED,0.1,mean_delta_vs_adapt_all,2000,-0.0073630548087044384,-0.03214628150487345,0.01394123655869566
SUN_TENT1,RISK_RANKED,0.0,harm_rate_among_adapted,0,,,
SUN_TENT1,RISK_RANKED,0.0,benefit_rate_among_adapted,0,,,
SUN_TENT1,RISK_RANKED,0.0,prevented_harm_fraction,2000,1.0,1.0,1.0
SUN_TENT1,RISK_RANKED,0.0,withheld_benefit_fraction,2000,1.0,1.0,1.0
SUN_TENT1,RISK_RANKED,0.0,mean_deployed_dice,2000,0.6856883477776059,0.6200121020528738,0.7481391850174383
SUN_TENT1,RISK_RANKED,0.0,median_deployed_dice,2000,0.8854982909015107,0.8410004650084862,0.9160821762626331
SUN_TENT1,RISK_RANKED,0.0,mean_delta_vs_source,2000,0.0,0.0,0.0
SUN_TENT1,RISK_RANKED,0.0,mean_delta_vs_adapt_all,2000,-0.03967785994038493,-0.06246800021491042,-0.01776472111862393
SUN_PL_CONF90,RISK_RANKED,1.0,harm_rate_among_adapted,2000,0.12056632653061225,0.10282879818594104,0.1380952380952381
SUN_PL_CONF90,RISK_RANKED,1.0,benefit_rate_among_adapted,2000,0.11555476190476191,0.09659863945578231,0.13412981859410428
SUN_PL_CONF90,RISK_RANKED,1.0,prevented_harm_fraction,2000,0.0,0.0,0.0
SUN_PL_CONF90,RISK_RANKED,1.0,withheld_benefit_fraction,2000,0.0,0.0,0.0
SUN_PL_CONF90,RISK_RANKED,1.0,mean_deployed_dice,2000,0.6886872453043991,0.6240655648408129,0.7505013402836638
SUN_PL_CONF90,RISK_RANKED,1.0,median_deployed_dice,2000,0.8862444270760399,0.8451242907101186,0.9150638644552839
SUN_PL_CONF90,RISK_RANKED,1.0,mean_delta_vs_source,2000,0.0029988975267931793,0.0007346400940398068,0.005281245952539759
SUN_PL_CONF90,RISK_RANKED,1.0,mean_delta_vs_adapt_all,2000,0.0,0.0,0.0
SUN_PL_CONF90,RISK_RANKED,0.9,harm_rate_among_adapted,2000,0.11969897959183674,0.10103300579491056,0.13756613756613756
SUN_PL_CONF90,RISK_RANKED,0.9,benefit_rate_among_adapted,2000,0.11214550264550263,0.09297052154195011,0.13139644746787602
SUN_PL_CONF90,RISK_RANKED,0.9,prevented_harm_fraction,2000,0.10649860707757315,0.07375384683671658,0.14818182054446438
SUN_PL_CONF90,RISK_RANKED,0.9,withheld_benefit_fraction,2000,0.12631107042960427,0.07499939143135345,0.18639626218851568
SUN_PL_CONF90,RISK_RANKED,0.9,mean_deployed_dice,2000,0.6880456299038449,0.6232959854143221,0.7498425296538803
SUN_PL_CONF90,RISK_RANKED,0.9,median_deployed_dice,2000,0.8860724509766271,0.8456551240202937,0.9149592144406056
SUN_PL_CONF90,RISK_RANKED,0.9,mean_delta_vs_source,2000,0.002357282126238892,0.0001961833095546206,0.004595112693643485
SUN_PL_CONF90,RISK_RANKED,0.9,mean_delta_vs_adapt_all,2000,-0.0006416154005542873,-0.0013631979129730964,3.65349332831903e-05
SUN_PL_CONF90,RISK_RANKED,0.8,harm_rate_among_adapted,2000,0.11122966269841271,0.09112103174603174,0.13138109410430837
SUN_PL_CONF90,RISK_RANKED,0.8,benefit_rate_among_adapted,2000,0.101781179138322,0.08148738662131519,0.12301587301587301
SUN_PL_CONF90,RISK_RANKED,0.8,prevented_harm_fraction,2000,0.26236795934938506,0.19903021893308664,0.3280592677991624
SUN_PL_CONF90,RISK_RANKED,0.8,withheld_benefit_fraction,2000,0.29556060548084984,0.22015410244342096,0.37226297208157194
SUN_PL_CONF90,RISK_RANKED,0.8,mean_deployed_dice,2000,0.6877552286352077,0.622945028230117,0.7495872062320894
SUN_PL_CONF90,RISK_RANKED,0.8,median_deployed_dice,2000,0.8856878320967149,0.8448393711551606,0.9149877240523376
